Time,PosY_Analytique,PosY_Explicite,PosY_Semi_Explicite,PosY_Midpoint,PosY_Verlet
97,19.4892,-1262.86,-19.6389,-12.4228,-4.11116
98,26.4315,-1503.91,-14.5678,-65.8463,1.65295
99,29.761,-1619.67,-9.04,-116.356,8.25177
100,29.1473,-1586.04,-3.60817,-158.756,15.0254
101,24.6514,-1391.45,1.18447,-188.401,21.2965
102,16.7191,-1039.25,6.85867,-201.687,26.438
103,6.13719,-548.901,12.847,-196.469,29.9356
104,-6.04507,44.3689,18.5506,-172.343,31.4397
105,-18.6195,691.529,23.3992,-130.777,30.7998
106,-30.3392,1335.25,26.9079,-75.0546,28.08
107,-40.042,1910.82,28.7257,-10.0406,23.5521
108,-46.7654,2353.87,28.671,58.2281,17.669
109,-49.8428,2606.83,26.7492,124.087,11.0191
110,-48.969,2625.4,23.1525,181.831,4.26719
111,-44.2308,2384.3,18.2405,225.279,-1.91141
112,-36.0977,1881.65,12.5045,249.371,-8.89887
113,-25.3767,1141.57,6.51799,250.73,-15.9964
114,-13.1308,214.331,0.879722,228.085,-22.4944
115,-0.574428,-826.068,-3.84652,182.499,-27.7429
116,11.0472,-1886.9,-9.18811,117.384,-31.2171
117,20.5818,-2866.13,-14.6109,38.2741,-32.5696
118,27.0834,-3657.66,-19.5726,-47.6182,-31.6651
119,29.9075,-4163.58,-23.577,-133.043,-28.5941
120,28.7741,-4304.74,-26.2237,-210.435,-23.6637
121,23.7953,-4030.54,-27.2481,-271.654,-17.367
122,15.4652,-3326.86,-26.5476,-309.767,-10.3335
123,4.60969,-2221.13,-24.1924,-319.81,-3.26672
124,-7.69464,-783.718,-20.418,-299.374,3.12676
125,-20.2276,874.812,-15.6017,-248.978,10.2076
126,-31.7464,2610.71,-10.2253,-172.165,17.2676
127,-41.1085,4260.13,-4.82633,-75.2951,23.6009
128,-47.3856,5649.48,0.0552635,32.9481,28.5741
129,-49.9552,6613.82,5.93133,143.309,31.6899
